Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Anoura cultrata","genus not specified","","Costa Rica","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Carollia sowelli","alphacoronavirus","","Mexico","cross-sectional","65","3","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Rousettus leschenaultii","betacoronavirus","","China","longitudinal","114","1","repeat","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1007/s12250-018-0017-2"
"Pipistrellus pygmaeus","alphacoronavirus","","Denmark","cross-sectional","9","1","single","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","China","cross-sectional","30","1","single","intestine","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Chaerephon plicatus","genus not specified","","Myanmar","cross-sectional","65","0","pooled","faecal, rectal, or anal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Murina gracilis","genus not specified","","Taiwan","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Chen et al. 2016","https://www.doi.org/10.1111/zph.12271"
"Eptesicus furinalis","genus not specified","","Brazil","cross-sectional","3","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Sturnira lilium","genus not specified","","Costa Rica","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Vespertilio murinus","genus not specified","","France","cross-sectional","1","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Myotis myotis","alphacoronavirus","","Germany","longitudinal","49","10","repeat","faecal, rectal, or anal","PCR","Drexler et al. 2011","https://www.doi.org/10.3201/eid1703.100526"
"Rhinolophus rex","betacoronavirus","Sarbecovirus","China","longitudinal","23","1","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis macrodactylus","genus not specified","","South Korea","cross-sectional","2","0","single","urinary","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Eptesicus fuscus","genus not specified","","United States of America","cross-sectional","2","0","single","oropharyngeal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Cynopterus horsfieldii","genus not specified","","China","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Myotis pilosus","alphacoronavirus","","China","cross-sectional","53","13","pooled","faecal, rectal, or anal","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Miniopterus magnater","alphacoronavirus","","China","cross-sectional","16","1","pooled","lung or respiratory","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Eptesicus serotinus","genus not specified","","South Korea","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Myotis nattereri","genus not specified","","Bulgaria","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Epomophorus labiatus","genus not specified","","Rwanda","cross-sectional","2","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Myotis emarginatus","genus not specified","","Luxembourg","cross-sectional","45","0","single","faecal, rectal, or anal","PCR","Pauly et al. 2017","https://www.doi.org/10.1128/AEM.01326-17"
"Phyllostomus discolor","genus not specified","","Brazil","cross-sectional","5","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Hipposideros armiger","genus not specified","","Thailand","cross-sectional","5","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","15","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Chrotopterus auritus","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Pteronotus parnellii","genus not specified","","Mexico","cross-sectional","7","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Glossophaga soricina","alphacoronavirus","","Brazil","cross-sectional","3","1","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Artibeus jamaicensis","alphacoronavirus","","Mexico","cross-sectional","17","2","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Miniopterus fuliginosus","alphacoronavirus","Lineage 2","China","longitudinal","30","3","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Miniopterus schreibersii","genus not specified","","China","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Hipposideros pomona","betacoronavirus","Merbecovirus","China","cross-sectional","20","0","pooled","faecal, rectal, or anal","Lateral Flow Immunoassay","Woo et al. 2018","https://www.doi.org/10.1038/s41426-017-0016-7"
"Miniopterus schreibersii","alphacoronavirus","","China","cross-sectional","135","17","pooled","faecal, rectal, or anal","PCR","Tang et al. 2006","https://www.doi.org/10.1128/JVI.00697-06"
"Mormoops megalophylla","genus not specified","","Mexico","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Artibeus jamaicensis","alphacoronavirus","","Mexico","cross-sectional","33","2","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Eidolon helvum","betacoronavirus","","Rwanda","cross-sectional","9","2","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"","genus not specified","","Spain","cross-sectional","5","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Miniopterus schreibersii","genus not specified","","China","longitudinal","758","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Myotis daubentonii","genus not specified","","Slovenia","cross-sectional","26","0","pooled","faecal, rectal, or anal","PCR","Rihtaric et al. 2010","https://www.doi.org/10.1007/s00705-010-0612-5"
"Pipistrellus kuhlii","betacoronavirus","Merbecovirus","Italy","cross-sectional","1","1","single","intestine","PCR","Moreno et al. 2017","https://www.doi.org/10.1186/s12985-017-0907-1"
"Carollia sowelli","alphacoronavirus","","Mexico","cross-sectional","293","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Plecotus auritus","genus not specified","","Finland","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Rhinolophus yunanensis","genus not specified","","Thailand","cross-sectional","1","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Rhinolophus luctus","genus not specified","","China","cross-sectional","10","0","single","faecal, rectal, or anal","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Rousettus aegyptiacus","genus not specified","","Kenya","cross-sectional","141","10","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Miniopterus inflatus","genus not specified","","Kenya","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Eonycteris spelaea","genus not specified","","Thailand","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Vampyressa pusilla","genus not specified","","Brazil","cross-sectional","2","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rhinolophus ferrumequinum","alphacoronavirus","","Bulgaria","cross-sectional","45","8","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Desmodus rotundus","genus not specified","","Brazil","cross-sectional","1","0","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Myotis dasycneme","genus not specified","","Denmark","longitudinal","2","2","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Barbastella barbastellus","genus not specified","","France","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis blythii","genus not specified","","France","cross-sectional","1","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Miniopterus inflatus","alphacoronavirus","","Kenya","cross-sectional","8","1","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Rhinolophus sinicus","betacoronavirus","","China","longitudinal","39","19","repeat","faecal, rectal, or anal","PCR","Ge et al. 2013","https://www.doi.org/10.1038/nature12711"
"Artibeus lituratus","betacoronavirus","","Mexico","cross-sectional","102","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Glossophaga soricina","genus not specified","","Brazil","cross-sectional","1","0","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Rousettus aegyptiacus","genus not specified","","Saudi Arabia","cross-sectional","2","0","single","blood or serum","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Artibeus planirostris","genus not specified","","Brazil","cross-sectional","3","0","single","liver","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Artibeus lituratus","betacoronavirus","","Mexico","cross-sectional","152","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Myotis myotis","alphacoronavirus","","Germany","longitudinal","40","39","repeat","faecal, rectal, or anal","PCR","Drexler et al. 2011","https://www.doi.org/10.3201/eid1703.100526"
"","genus not specified","","Thailand","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis mystacinus","genus not specified","","Spain","cross-sectional","5","0","pooled","faecal, rectal, or anal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Myotis aurascens,Myotis petax","genus not specified","","South Korea","longitudinal","3","0","repeat","faecal, rectal, or anal","PCR","Kim et al. 2016","https://www.doi.org/10.1111/tbed.12515"
"Rhinolophus ferrumequinum","alphacoronavirus","","China","cross-sectional","30","1","single","faecal, rectal, or anal","PCR","He et al. 2014","https://www.doi.org/10.1128/JVI.00631-14"
"Rhinolophus blasii","alphacoronavirus","","Bulgaria","cross-sectional","82","10","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Craseonycteris thonglongyai","genus not specified","","Myanmar","cross-sectional","31","0","pooled","oropharyngeal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Myotis myotis","alphacoronavirus","","Hungary","cross-sectional","29","1","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"","genus not specified","","India","cross-sectional","4","0","pooled","oropharyngeal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Hipposideros larvatus","betacoronavirus","","Thailand","longitudinal","11","3","repeat","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Mops condylurus","genus not specified","","Rwanda","cross-sectional","20","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Myotis formosus","genus not specified","","South Korea","cross-sectional","4","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Micronycteris schmidtorum","genus not specified","","Mexico","cross-sectional","3","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Myotis daubentonii","alphacoronavirus","","Denmark","longitudinal","40","8","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Rhinolophus sinicus","betacoronavirus","Sarbecovirus","China","cross-sectional","59","23","pooled","faecal, rectal, or anal","PCR","Lau et al. 2005","https://www.doi.org/10.1073/pnas.0506735102"
"Artibeus jamaicensis","alphacoronavirus","","Mexico","cross-sectional","142","1","single","faecal, rectal, or anal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Cynopterus sphinx","genus not specified","","China","longitudinal","26","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Miniopterus sororculus","genus not specified","","Madagascar","cross-sectional","8","0","single","intestine","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Rhinolophus affinis","genus not specified","","China","cross-sectional","2","0","pooled","pooled swabs/samples","PCR","Lau et al. 2005","https://www.doi.org/10.1073/pnas.0506735102"
"Myotis siligorensis","genus not specified","","Thailand","cross-sectional","1","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Miniopterus schreibersii","alphacoronavirus","","Spain","cross-sectional","9","1","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Pipistrellus tenuis","genus not specified","","China","longitudinal","11","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Ptenochirus jagori","betacoronavirus","","Philippines","cross-sectional","8","6","single","intestine","Western Blot","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Scotophilus heathii","genus not specified","","Myanmar","cross-sectional","12","0","pooled","oropharyngeal","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Rhinolophus ferrumequinum","genus not specified","","France","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Pipistrellus pipistrellus","genus not specified","","Germany","longitudinal","29","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Barbastella beijingensis","genus not specified","","China","longitudinal","2","0","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Plecotus auritus","genus not specified","","Finland","cross-sectional","1","0","pooled","faecal, rectal, or anal","PCR","Kivistö et al. 2020","https://www.doi.org/10.1089/vbz.2018.2367"
"Rousettus aegyptiacus","alphacoronavirus","","Kenya","cross-sectional","11","2","pooled","faecal, rectal, or anal","PCR","Tong et al. 2009","https://www.doi.org/10.3201/eid1503.081013"
"Rhinolophus euryale","genus not specified","","Spain","cross-sectional","13","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"","alphacoronavirus","","Guinea","cross-sectional","13","1","single","faecal, rectal, or anal","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Eonycteris spelaea","genus not specified","","Thailand","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis brandtii","genus not specified","","Denmark","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Myotis macropus","alphacoronavirus","","Australia","longitudinal","64","13","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","4","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis emarginatus","genus not specified","","Spain","cross-sectional","2","0","pooled","oropharyngeal","PCR","Falcón et al. 2011","https://www.doi.org/10.1007/s00705-011-1057-1"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","China","cross-sectional","85","11","single","intestine","PCR","Hu et al. 2018","https://www.doi.org/10.1038/s41426-018-0155-5"
"Chalinolobus gouldii","alphacoronavirus","","Australia","cross-sectional","232","59","pooled","faecal, rectal, or anal","PCR","Prada et al. 2019","https://www.doi.org/10.3390/v11121157"
"Rhinolophus pearsonii","betacoronavirus","Sarbecovirus","China","cross-sectional","30","3","single","faecal, rectal, or anal","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Myotis evotis","genus not specified","","United States of America","cross-sectional","1","0","single","oropharyngeal","PCR","Dominguez et al. 2007","https://www.doi.org/10.3201/eid1309.070491"
"Eidolon helvum","genus not specified","","Saudi Arabia","cross-sectional","19","0","single","blood or serum","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Rhinolophus pusillus","genus not specified","","China","cross-sectional","10","1","single","faecal, rectal, or anal","PCR","Wang et al. 2017","https://www.doi.org/10.1038/emi.2016.140"
"Hipposideros cervinus","genus not specified","","Malaysian Borneo","longitudinal","43","7","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Artibeus planirostris","genus not specified","","Brazil","cross-sectional","9","0","single","intestine","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Cynopterus brachyotis","betacoronavirus","","Philippines","cross-sectional","6","1","single","intestine","PCR","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Rhinolophus ferrumequinum","genus not specified","","South Korea","cross-sectional","10","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Eptesicus fuscus","genus not specified","","United States of America","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Eptesicus serotinus","genus not specified","","South Korea","cross-sectional","1","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Hipposideros armiger","genus not specified","","China","cross-sectional","13","0","pooled","pooled swabs/samples","PCR","Woo et al. 2006","https://www.doi.org/10.1016/j.virol.2006.02.041"
"Rhinolophus sinicus","alphacoronavirus","","China","cross-sectional","740","23","pooled","faecal, rectal, or anal","PCR","Wang et al. 2019","https://www.doi.org/10.3390/v11040379"
"Pipistrellus pygmaeus","alphacoronavirus","","Denmark","cross-sectional","6","1","single","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Eptesicus fuscus","alphacoronavirus","","United States of America","cross-sectional","12","1","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Myotis myotis","genus not specified","","France","cross-sectional","18","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Pipistrellus pygmaeus","alphacoronavirus","Lineage 3","Germany","cross-sectional","57","3","pooled","faecal, rectal, or anal","PCR","Gloza-rausch et al. 2008","https://www.doi.org/10.3201/eid1404.071439"
"Myotis chinensis","genus not specified","","China","cross-sectional","86","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Scotomanes ornatus","genus not specified","","China","longitudinal","3","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Rousettus leschenaultii","betacoronavirus","Sarbecovirus","China","cross-sectional","55","0","single","lung or respiratory","PCR","Li et al. 2005","https://www.doi.org/10.1126/science.1118391"
"Eonycteris spelaea","genus not specified","","Thailand","cross-sectional","11","0","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Eumops glaucinus","genus not specified","","Costa Rica","longitudinal","1","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Rhinolophus coelophyllus","genus not specified","","Thailand","cross-sectional","5","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Tadarida teniotis","genus not specified","","Italy","cross-sectional","1","0","single","skin swab","PCR","Lecis et al. 2019","https://www.doi.org/10.1007/s11262-018-1614-8"
"Rousettus aegyptiacus","betacoronavirus","","Egypt","cross-sectional","257","5","pooled","liver","PCR","Shehata et al. 2016","https://www.doi.org/10.3201/eid2201.151397"
"Murina leucogaster","alphacoronavirus","","China","longitudinal","19","2","pooled","faecal, rectal, or anal","PCR","Lin et al. 2017","https://www.doi.org/10.1016/j.virol.2017.03.019"
"Myotis aurascens","genus not specified","","South Korea","cross-sectional","9","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Pteropus lylei","genus not specified","","Thailand","cross-sectional","46","14","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Megaerops kusnotoi","betacoronavirus","Nobecovirus","China","cross-sectional","41","1","pooled","intestine","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Pipistrellus hesperidus","genus not specified","","Madagascar","cross-sectional","5","0","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Rhinolophus hipposideros","genus not specified","","China","cross-sectional","5","0","single","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Myotis daubentonii","genus not specified","","France","cross-sectional","1","0","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"","genus not specified","","India","cross-sectional","4","0","pooled","faecal, rectal, or anal","PCR","Yadav et al. 2020","https://www.doi.org/10.4103/ijmr.IJMR_795_20"
"Pteropus seychellensis","genus not specified","","France","cross-sectional","22","0","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Dermanura phaeotis","betacoronavirus","","Mexico","cross-sectional","253","2","single","oropharyngeal","PCR","Rico-Chávez et al. 2015","https://www.doi.org/10.21753/vmoa.2.1.344"
"Coleura afra","genus not specified","","Gabon","cross-sectional","34","0","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Scotophilus kuhlii","genus not specified","","Myanmar","cross-sectional","1","0","pooled","pooled swabs/samples","PCR","Valitutto et al. 2020","https://www.doi.org/10.1371/journal.pone.0230802"
"Myotis laniger","genus not specified","","Taiwan","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Chen et al. 2016","https://www.doi.org/10.1111/zph.12271"
"Rousettus aegyptiacus","genus not specified","","Rwanda","cross-sectional","9","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Hipposideros caffer","genus not specified","","Rwanda","cross-sectional","1","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Peropteryx leucoptera","genus not specified","","Brazil","cross-sectional","1","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Pipistrellus abramus","genus not specified","","China","cross-sectional","6","0","pooled","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Eptesicus fuscus","genus not specified","","United States of America","cross-sectional","31","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"","betacoronavirus","Sarbecovirus","Italy","cross-sectional","30","1","pooled","faecal, rectal, or anal","PCR","Lelli et al. 2013","https://www.doi.org/10.3390/v5112679"
"Epomophorus labiatus","genus not specified","","Kenya","cross-sectional","8","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Hipposideros pomona","alphacoronavirus","","China","cross-sectional","8","3","pooled","faecal, rectal, or anal","PCR","Ge et al. 2016","https://www.doi.org/10.1007/s12250-016-3713-9"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","4","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis myotis","alphacoronavirus","","Germany","longitudinal","18","9","repeat","faecal, rectal, or anal","PCR","Drexler et al. 2011","https://www.doi.org/10.3201/eid1703.100526"
"Carollia perspicillata","genus not specified","","Brazil","longitudinal","12","0","pooled","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Nycteris thebaica","betacoronavirus","","Mozambique","cross-sectional","14","4","single","pooled swabs/samples","PCR","Joffrin et al. 2020","https://www.doi.org/10.1038/s41598-020-63799-7"
"Miniopterus fuliginosus","genus not specified","","China","longitudinal","8","0","pooled","pooled swabs/samples","PCR","Du et al. 2016","https://www.doi.org/10.1007/s11427-016-5039-0"
"Myotis punicus","alphacoronavirus","","Tunisia","cross-sectional","1","1","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Myotis pilosus","genus not specified","","China","cross-sectional","5","0","pooled","faecal, rectal, or anal","PCR","Poon et al. 2005","https://www.doi.org/10.1128/JVI.79.4.2001-2009.2005"
"Rhinolophus pusillus","alphacoronavirus","","China","cross-sectional","45","2","single","pooled tissue","PCR","Hu et al. 2017","https://www.doi.org/10.1038/s41598-017-11384-w"
"Hipposideros gigas","alphacoronavirus","","Gabon","cross-sectional","30","1","single","intestine","PCR","Maganga et al. 2020","https://www.doi.org/10.1038/s41598-020-64159-1"
"Rhinolophus ferrumequinum","genus not specified","","Morocco","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Hipposideros pomona","genus not specified","","China","cross-sectional","18","0","pooled","pooled swabs/samples","PCR","Woo et al. 2006","https://www.doi.org/10.1016/j.virol.2006.02.041"
"Myotis myotis","genus not specified","","France","cross-sectional","10","0","single","faecal, rectal, or anal","PCR","Goffard et al. 2015","https://www.doi.org/10.3390/v7122937"
"Kerivoula papillosa","genus not specified","","Malaysian Borneo","longitudinal","7","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"Myotis thysanodes","genus not specified","","United States of America","cross-sectional","13","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
