Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Myotis alcathoe","genus not specified","","Bulgaria","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Drexler et al. 2010","https://www.doi.org/10.1128/JVI.00650-10"
"Platyrrhinus helleri","genus not specified","","Costa Rica","cross-sectional","2","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Pipistrellus kuhlii","genus not specified","","Saudi Arabia","cross-sectional","1","0","single","oropharyngeal","PCR","Memish et al. 2013","https://www.doi.org/10.3201/eid1911.131172"
"Rhinolophus sedulus","genus not specified","","Malaysian Borneo","longitudinal","13","0","pooled","faecal, rectal, or anal","PCR","Seltmann et al. 2017","https://www.doi.org/10.1007/s10393-017-1245-x"
"","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Myotis emarginatus","genus not specified","","Italy","cross-sectional","29","0","pooled","pooled swabs/samples","PCR","Rizzo et al. 2017","https://www.doi.org/10.1186/s12917-017-1307-x"
"Carollia subrufa","genus not specified","","Costa Rica","cross-sectional","6","0","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Eptesicus serotinus","genus not specified","","France","cross-sectional","10","0","single","faecal, rectal, or anal","PCR","Goffard et al. 2015","https://www.doi.org/10.3390/v7122937"
"Glossophaga soricina","genus not specified","","Mexico","cross-sectional","12","0","pooled","pooled swabs/samples","PCR","Anthony et al. 2013","https://www.doi.org/10.1099/vir.0.049759-0"
"Hipposideros larvatus","genus not specified","","Thailand","cross-sectional","2","0","single","oropharyngeal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Pteropus lylei","alphacoronavirus","","Thailand","cross-sectional","367","4","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2018","https://www.doi.org/10.1186/s12985-018-0950-6"
"Myotis myotis","genus not specified","","France","cross-sectional","17","0","pooled","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2018","https://www.doi.org/10.1016/j.virol.2018.01.014"
"Scotophilus leucogaster","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Neoromicia tenuipinnis","genus not specified","","Kenya","cross-sectional","7","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Hipposideros armiger","genus not specified","","Taiwan","cross-sectional","7","1","pooled","faecal, rectal, or anal","PCR","Chen et al. 2016","https://www.doi.org/10.1111/zph.12271"
"Rhinolophus ferrumequinum","genus not specified","","South Korea","cross-sectional","5","0","single","oropharyngeal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Rhinolophus ferrumequinum","genus not specified","","United Kingdom","cross-sectional","15","0","single","faecal, rectal, or anal","PCR","August et al. 2012","https://www.doi.org/10.1089/vbz.2011.0829"
"Pteropus alecto","betacoronavirus","","Australia","cross-sectional","33","4","single","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Lavia frons","genus not specified","","Rwanda","cross-sectional","1","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Cynopterus sphinx","genus not specified","","Thailand","cross-sectional","7","0","pooled","faecal, rectal, or anal","PCR","Wacharapluesadee et al. 2015","https://www.doi.org/10.1186/s12985-015-0289-1"
"Cynopterus brachyotis","betacoronavirus","","Philippines","cross-sectional","4","2","single","faecal, rectal, or anal","PCR","Tsuda et al. 2012","https://www.doi.org/10.1007/s00705-012-1410-z"
"Myotis aurascens,Myotis petax","genus not specified","","South Korea","longitudinal","5","0","repeat","faecal, rectal, or anal","PCR","Kim et al. 2016","https://www.doi.org/10.1111/tbed.12515"
"Hipposideros larvatus","genus not specified","","China","cross-sectional","21","0","single","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Sturnira lilium","alphacoronavirus","","Brazil","cross-sectional","22","2","single","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Glossophaga soricina","alphacoronavirus","","Costa Rica","cross-sectional","21","1","pooled","faecal, rectal, or anal","PCR","Moreira-Soto et al. 2015","https://www.doi.org/10.1111/zph.12181"
"Cynomops abrasus","alphacoronavirus","","Brazil","cross-sectional","11","3","single","faecal, rectal, or anal","PCR","Asano et al. 2016","https://www.doi.org/10.1186/s12985-016-0569-4"
"Myotis muricola","genus not specified","","China","longitudinal","4","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Miniopterus magnater","genus not specified","","China","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lau et al. 2019","https://www.doi.org/10.3390/v11050423"
"Scotophilus viridis","genus not specified","","Rwanda","cross-sectional","1","0","single","pooled swabs/samples","PCR","Nziza et al. 2020","https://www.doi.org/10.1007/s10393-019-01458-8"
"Myotis dasycneme","alphacoronavirus","","Denmark","longitudinal","1","1","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
